category,video
adult+female+speaking,getty-man-and-woman-sitting-together-in-back-seat-at-car-daytime-video-id731428971_14
adult+female+speaking,getty-man-and-woman-sitting-together-in-back-seat-at-car-daytime-video-id731428989_12
adult+female+speaking,getty-man-getting-out-of-back-seat-of-car-beautiful-sunny-day-nyc-video-id731428581_7
adult+female+speaking,getty-man-getting-out-of-back-seat-of-car-beautiful-sunny-day-nyc-video-id731428969_1
adult+female+speaking,getty-medium-panning-shot-of-busy-mother-talking-on-cell-phone-interrupted-video-id727599993_9
adult+female+speaking,getty-medium-panning-shot-of-busy-mother-talking-on-cell-phone-interrupted-video-id727599995_11
adult+female+speaking,getty-medium-panning-shot-of-mother-and-daughter-video-chatting-on-laptop-video-id727600005_12
adult+female+speaking,getty-medium-shot-of-distracted-women-posing-for-cell-phone-selfie-in-car-video-id738712943_6
adult+female+speaking,getty-medium-shot-of-woman-in-park-talking-on-cell-phone-kazanluk-bulgaria-video-id852517050_2
adult+female+speaking,getty-medium-shot-of-women-in-car-using-cell-phone-for-navigation-provo-video-id738712941_11
adult+female+speaking,getty-medium-shot-of-women-talking-and-laughing-in-city-salzburg-austria-video-id852657134_4
adult+female+speaking,getty-mother-and-daughter-pump-bike-tire-in-hills-video-id804336832_4
adult+female+speaking,getty-multiethnic-group-of-young-adult-friends-enjoy-park-outdoors-video-id845628306_6
adult+female+speaking,getty-multiethnic-romantic-couple-proposing-at-the-beach-video-id622578532_6
adult+female+speaking,getty-natasha-alam-talks-about-if-its-harder-for-hot-celebrity-women-to-video-id697998436_99
adult+female+speaking,getty-office-meeting-video-id843977110_47
adult+female+speaking,getty-office-workers-having-a-meeting-video-id497113162_5
adult+female+speaking,getty-office-workers-using-laptop-and-tablet-video-id497113132_13
adult+female+speaking,getty-owners-of-insiders1-sigal-demayo-and-fabio-otalora-at-booth-sigal-de-video-id828137706_35
adult+female+speaking,getty-people-waiting-for-a-sports-game-video-id846650366_1
adult+female+speaking,getty-phoebe-price-talks-about-putin-saying-he-does-not-have-bad-days-cause-video-id694109142_41
adult+female+speaking,getty-police-inspector-tries-to-question-cigarette-salesgirl-who-is-with-video-id842059512_20
adult+female+speaking,getty-president-barack-obama-and-german-chancellor-angela-merkel-made-a-video-id524859982_52
adult+female+speaking,getty-presidential-election-obama-wins-new-first-family-chicago-mccarthys-video-id838398572_6
adult+female+speaking,getty-princess-of-wales-at-children-aids-conference-england-london-qe11-video-id841246076_49
adult+female+speaking,getty-reports-drought-in-new-york-city-usa-new-york-new-york-city-ext-video-id828141534_86
adult+female+speaking,getty-reports-us-debutante-season-opens-usa-new-york-int-various-views-of-video-id828220830_222
adult+female+speaking,getty-rise-in-the-number-of-women-in-the-boardroom-england-london-gir-int-video-id838734334_89
adult+female+speaking,getty-robert-mccartney-murder-man-acquitted-joseph-fitzpatrick-and-james-video-id838301484_20
adult+female+speaking,getty-roving-report-first-time-abroad-opening-credit-sequence-england-ext-video-id828448464_385
adult+female+speaking,getty-roving-report-round-the-world-3-close-ups-lady-hillary-with-3-year-video-id828302062_46
adult+female+speaking,getty-roving-report-young-people-of-europe-high-windows-inside-hostel-room-video-id828176594_102
adult+female+speaking,getty-rowan-blanchard-presents-to-marne-levine-at-women-making-history-video-id848492440_14
adult+female+speaking,getty-sarah-silverman-talks-about-being-a-fan-of-billie-jean-king-and-video-id848574552_6
adult+female+speaking,getty-senior-couple-watching-tv-and-talking-video-id646054626_3
adult+female+speaking,getty-senior-man-and-woman-watching-tv-and-laughing-video-id646064730_1
adult+female+speaking,getty-senior-woman-talking-to-husband-while-watching-tv-video-id649424228_2
adult+female+speaking,getty-small-business-owner-takes-off-glasses-and-discusses-finances-with-video-id681853996_4
adult+female+speaking,getty-small-business-owners-meet-with-accountant-and-look-at-laptop-over-video-id681856214_6
adult+female+speaking,getty-small-business-owning-couple-meet-with-financial-advisor-at-local-video-id681853960_4
adult+female+speaking,getty-smiling-businesswoman-discussing-project-with-colleague-in-office-video-id635570254_3
adult+female+speaking,getty-smiling-businesswoman-in-discussion-with-colleagues-during-meeting-in-video-id638467954_3
adult+female+speaking,getty-smiling-businesswoman-leading-team-meeting-in-conference-room-video-id635748772_3
adult+female+speaking,getty-smiling-businesswoman-listening-during-informal-meeting-in-office-video-id635745362_3
adult+female+speaking,getty-smiling-female-designer-leading-project-discussion-on-digital-tablet-video-id635769562_3
adult+female+speaking,getty-smiling-senior-couple-hugging-and-talking-on-patio-video-id620689426_11
adult+female+speaking,getty-steadycam_coworkers-having-conversation-in-the-break-of-a-convention-video-id627299336_9
adult+female+speaking,getty-steadycam_coworkers-having-conversation-in-the-break-of-a-convention-video-id627307630_3
adult+female+speaking,getty-team-of-professionals-work-on-a-project-video-id494898970_12
adult+female+speaking,getty-technical-university-munich-colloquium-video-id684600400_5
adult+female+speaking,getty-technical-university-munich-colloquium-video-id684637308_3
adult+female+speaking,getty-teenage-girl-talks-with-friends-sitting-on-graffiti-wall-in-windy-video-id687042038_3
adult+female+speaking,getty-the-city-pillar-shrine-bangkok-thailand-southeast-asia-asia-video-id837454054_7
adult+female+speaking,getty-three-friends-talk-under-palm-trees-outside-las-vegas-casino-at-night-video-id851868294_5
adult+female+speaking,getty-three-girls-sit-and-talk-in-a-field-of-flowers-video-id685980790_3
adult+female+speaking,getty-tilt_colleagues-having-conversation-in-the-break-of-a-convention-video-id627296702_1
adult+female+speaking,getty-times-square-manhattan-new-york-city-video-id823924440_1
adult+female+speaking,getty-trial-of-seven-suspected-somali-pirates-starts-in-paris-over-the-of-video-id518485792_109
adult+female+speaking,getty-two-business-women-commuting-in-the-street-video-id853960268_5
adult+female+speaking,getty-two-sisters-talk-and-laugh-and-make-animated-hand-gestures-at-windy-video-id686812660_7
adult+female+speaking,getty-two-sisters-talk-and-laugh-sitting-on-stone-wall-on-city-sidewalk-video-id685980456_1
adult+female+speaking,getty-two-sisters-walk-and-talk-down-treelined-city-sidewalk-video-id685980598_2
adult+female+speaking,getty-two-women-dance-and-drink-champagne-together-rio-de-janeiro-brazil-video-id600129730_8
adult+female+speaking,getty-two-women-dance-and-drink-champagne-together-rio-de-janeiro-brazil-video-id600129736_11
adult+female+speaking,getty-two-women-drink-champagne-together-rio-de-janeiro-brazil-video-id600129734_7
adult+female+speaking,getty-two-women-talking-video-id851770366_2
adult+female+speaking,getty-two-young-women-in-back-seat-of-car-daytime-video-id731428753_5
adult+female+speaking,getty-view-of-a-woman-on-the-phone-at-kitchen-sink-video-id845809776_1
adult+female+speaking,getty-view-of-a-woman-on-the-phone-in-front-of-mirror-video-id845790508_5
adult+female+speaking,getty-view-of-a-woman-on-the-phone-video-id845793168_10
adult+female+speaking,getty-woman-having-a-phone-call-video-id847569152_18
adult+female+speaking,getty-young-asian-female-business-executive-in-close-up-at-meeting-video-id846329090_7
adult+female+speaking,getty-young-beauty-woman-on-coffee-with-a-friend-video-id847364256_8
adult+female+speaking,getty-young-beauty-woman-on-coffee-with-a-friend-video-id847384192_7
adult+female+speaking,getty-young-beauty-woman-on-coffee-with-a-friend-video-id847390536_6
adult+female+speaking,getty-young-business-boy-talk-with-young-woman-in-date-dining-video-id677799230_3
adult+female+speaking,getty-young-couple-drinking-coffee-and-talking-in-sunny-kitchen-video-id543757720_3
adult+female+speaking,getty-young-couple-having-snack-at-home-enjoying-their-love-and-marriage-video-id645230680_2
adult+female+speaking,getty-young-couple-hiking-checking-map-and-cell-phone-gps-video-id640388574_19
adult+female+speaking,getty-young-couple-in-back-seat-at-car-camera-pans-left-from-driver-daytime-video-id731428775_1
adult+female+speaking,getty-young-couple-in-back-seat-at-car-happily-talking-daytime-video-id731428837_4
adult+female+speaking,getty-young-couple-in-back-seat-at-car-happily-talking-daytime-video-id731428839_9
adult+female+speaking,getty-young-couple-in-back-seat-at-car-happily-talking-daytime-video-id731429043_10
adult+female+speaking,getty-young-couple-in-back-seat-at-car-happy-together-night-video-id731428703_14
adult+female+speaking,getty-young-couple-in-back-seat-at-car-woman-talking-on-phone-daytime-video-id731428833_1
adult+female+speaking,getty-young-entrepreneur-presenting-his-team-a-business-progress-on-a-in-video-id846245322_15
adult+female+speaking,getty-young-entrepreneur-working-in-her-office-video-id522056730_11
adult+female+speaking,getty-young-man-in-back-seat-at-car-beautiful-sunny-day-nyc-video-id731428583_7
adult+female+speaking,getty-young-man-in-back-seat-at-car-beautiful-sunny-day-nyc-video-id731428787_1
adult+female+speaking,getty-young-man-works-on-tablet-computer-and-laughs-with-friend-in-local-video-id681853840_3
adult+female+speaking,getty-young-mother-and-daughter-discuss-about-schedule-display-at-the-video-id849676704_9
adult+female+speaking,getty-young-people-having-fun-during-meeting-in-creative-office-video-id502106536_2
adult+female+speaking,getty-young-woman-carrying-a-shopping-bag-and-talking-on-the-phone-video-id635773356_2
adult+female+speaking,getty-young-woman-smiles-as-she-cooks-over-smoking-grill-at-rooftop-party-video-id845209772_5
adult+female+speaking,getty-young-woman-talks-and-laughs-with-friends-over-coffee-at-local-coffee-video-id682782686_1
adult+female+speaking,getty-young-woman-talks-excitedly-and-scowls-at-friend-outside-las-vegas-video-id851868206_1
adult+female+speaking,getty-yvette-cooper-speaks-out-about-online-abuse-faced-by-some-women-int-video-id838474320_173
adult+female+speaking,yt---9O4XZOge4_35
adult+female+speaking,yt---IHiTgsaIk_15
adult+female+speaking,yt---VeqKi0cAg_195
adult+female+speaking,yt--0N94QVF92E_35
adult+female+speaking,yt--0vPqxSVaG4_137
adult+female+speaking,yt--1gVjWtwVrU_35
adult+female+speaking,yt--1sNum0POg8_465
adult+female+speaking,yt--247Mdo8nJ8_35
adult+female+speaking,yt--2WeKymlTLU_25
adult+female+speaking,yt--3K9y6H3Jos_165
adult+female+speaking,yt--4c9EgbBqro_35
adult+female+speaking,yt--4i8PM8TZSU_35
adult+female+speaking,yt--4v5dQcqDJA_35
adult+female+speaking,yt--5ObAgkqicQ_35
adult+female+speaking,yt--6EicsLmZv8_105
adult+female+speaking,yt--8ZJ_g59Bqg_35
adult+female+speaking,yt--8_-zx7UIPw_35
adult+female+speaking,yt--8ysWJSrITc_35
adult+female+speaking,yt--92Uz9W1BJs_35
adult+female+speaking,yt--95O5JZYsCU_137
adult+female+speaking,yt--9qnOzVtk6s_35
adult+female+speaking,yt--A6zrwwCw5c_35
adult+female+speaking,yt--A8vyL66iIU_35
adult+female+speaking,yt--EolZVYaB34_118
adult+female+speaking,yt--EolZVYaB34_21
adult+female+speaking,yt--LhPKUkXo74_17
adult+female+speaking,yt--LhPKUkXo74_181
adult+female+speaking,yt--NNDb3G-FPM_22
adult+female+speaking,yt--NNDb3G-FPM_45
adult+female+speaking,yt--OAmhAu25qE_707
adult+female+speaking,yt--TCD9NiX0iw_56
adult+female+speaking,yt--TvV3tkFH7w_53
adult+female+speaking,yt--_HadVp1L_g_72
adult+female+speaking,yt--eB6EwKnSOU_100
adult+female+speaking,yt--eB6EwKnSOU_1175
adult+female+speaking,yt--eWJOhI977w_29
adult+female+speaking,yt--f5KKYxemTk_2031
adult+female+speaking,yt--glb90WDpK4_175
adult+female+speaking,yt--iFGo1zRFRY_16
adult+female+speaking,yt--le_98XkAn0_150
adult+female+speaking,yt--nRcv2k7QkA_312
adult+female+speaking,yt--qdyo7Xc82E_77
adult+female+speaking,yt--s5qMOFL81c_8
adult+female+speaking,yt--t3LI1WsP8g_177
adult+female+speaking,yt--uzIfNsfwkM_52
adult+female+speaking,yt--y6r8xp0_To_10
adult+female+speaking,yt-00IGiDuOyag_2112
adult+female+speaking,yt-00IGiDuOyag_51
adult+female+speaking,yt-03aWmOMB20M_5
adult+female+speaking,yt-05nCcYxFG1Q_203
adult+female+speaking,yt-07Vhdxy_Mwc_10
adult+female+speaking,yt-08RFTI9QR20_157
adult+female+speaking,yt-08RFTI9QR20_6
adult+female+speaking,yt-08RFTI9QR20_93
adult+female+speaking,yt-0AKod_YEok4_4
adult+female+speaking,yt-0CgjOyxiSpA_1795
adult+female+speaking,yt-0Hk28DFxLbY_133
adult+female+speaking,yt-0JElywbkSbY_63
adult+female+speaking,yt-0JWdi_6wzxc_228
adult+female+speaking,yt-0OkOQhXhsIE_558
adult+female+speaking,yt-0Okx-ircr8Q_351
adult+female+speaking,yt-0Okx-ircr8Q_80
adult+female+speaking,yt-0Om-a5OC5Nw_2774
adult+female+speaking,yt-0PdUBN0yQe0_100
adult+female+speaking,yt-0YJ7BVJeBAs_28
adult+female+speaking,yt-0a0TeHqCPgs_115
adult+female+speaking,yt-0cDQDf4fIUA_107
adult+female+speaking,yt-0fecwxtOXBk_18
adult+female+speaking,yt-0jG-p9kF0lw_192
adult+female+speaking,yt-0jG-p9kF0lw_65
adult+female+speaking,yt-0nl4ZCnaseY_50
adult+female+speaking,yt-0sG5IiPXPYg_19
adult+female+speaking,yt-0vKi8uTTQxM_1209
adult+female+speaking,yt-0wRDtxzxkRo_98
adult+female+speaking,yt-0wskgjzofBA_22
adult+female+speaking,yt-0wskgjzofBA_47
adult+female+speaking,yt-14qiYabig2A_12
adult+female+speaking,yt-1ANEYggoCZU_54
adult+female+speaking,yt-1E5ibYCCCRE_116
adult+female+speaking,yt-1EQkjCfoA4M_18
adult+female+speaking,yt-1GRs2yNN0lA_133
adult+female+speaking,yt-1GRs2yNN0lA_185
adult+female+speaking,yt-1GRs2yNN0lA_75
adult+female+speaking,yt-1JKoFu49kP0_2036
adult+female+speaking,yt-1L3eeC2lJZs_56
adult+female+speaking,yt-1L3eeC2lJZs_90
adult+female+speaking,yt-1OJeL7soQno_114
adult+female+speaking,yt-1OJeL7soQno_265
adult+female+speaking,yt-1QWHtDxm8Bs_8
adult+female+speaking,yt-1QWHtDxm8Bs_94
adult+female+speaking,yt-1Wn2n5BeXHU_45
adult+female+speaking,yt-1Wn2n5BeXHU_59
adult+female+speaking,yt-1bXk_1rYZN0_1
adult+female+speaking,yt-1bXk_1rYZN0_18
adult+female+speaking,yt-1pltf-vz41M_182
adult+female+speaking,yt-1pltf-vz41M_19
adult+female+speaking,yt-1qFpMqe5znM_198
adult+female+speaking,yt-1qFpMqe5znM_277
adult+female+speaking,yt-1qFpMqe5znM_47
adult+female+speaking,yt-1qap00mKiaM_226
adult+female+speaking,yt-1w8n0L3uUCE_38
adult+female+speaking,yt-1yi8euIGPVE_9
adult+female+speaking,yt-1z51QIkQB8M_370
adult+female+speaking,yt-1z51QIkQB8M_95
adult+female+speaking,yt-2-8FXnmMjag_1188
adult+female+speaking,yt-20dYoGsLVHE_28
adult+female+speaking,yt-20dYoGsLVHE_51
adult+female+speaking,yt-22aMls0Cg-A_86
adult+female+speaking,yt-2CCHq27ZgyE_76
adult+female+speaking,yt-2Cg3cUnYjYg_33
adult+female+speaking,yt-2EAytmSD6OQ_170
adult+female+speaking,yt-2IE58EIK5Lc_30
adult+female+speaking,yt-2N2sE2Flae4_121
adult+female+speaking,yt-2N2sE2Flae4_41
adult+female+speaking,yt-2NPPE6a7mSI_44
adult+female+speaking,yt-2SP4LNznSvw_6
adult+female+speaking,yt-2TqbUubYsE4_4
adult+female+speaking,yt-2Wz6MdAELRg_16
adult+female+speaking,yt-2Y9-YvaX0iY_35
adult+female+speaking,yt-2f8Hpid8YWA_158
adult+female+speaking,yt-2j-S06u5lDY_845
adult+female+speaking,yt-2kjrtjgBqfo_206
adult+female+speaking,yt-2l1TSmmmb68_264
adult+female+speaking,yt-2l1TSmmmb68_321
adult+female+speaking,yt-2lmR8hG9U2A_16
adult+female+speaking,yt-2oIe4uCxOw8_100
adult+female+speaking,yt-2v7VkIvR5K0_84
adult+female+speaking,yt-2wJgt2kurMs_2182
adult+female+speaking,yt-2wJgt2kurMs_75
adult+female+speaking,yt-2x5pWjq24qY_114
adult+female+speaking,yt-31DVgajd8XE_1045
adult+female+speaking,yt-31DVgajd8XE_113
adult+female+speaking,yt-31DVgajd8XE_1397
adult+female+speaking,yt-31DVgajd8XE_994
adult+female+speaking,yt-33kVlgewFaE_299
adult+female+speaking,yt-37mpCwCGHXs_95
adult+female+speaking,yt-3ARAmfe7qtQ_55
adult+female+speaking,yt-3ARAmfe7qtQ_83
adult+female+speaking,yt-3HcEhgl5Cn0_54
adult+female+speaking,yt-3MqOYRnFBtU_183
adult+female+speaking,yt-3MqOYRnFBtU_342
adult+female+speaking,yt-3MqOYRnFBtU_84
adult+female+speaking,yt-3NeDodgqBXI_227
adult+female+speaking,yt-3NeDodgqBXI_75
